what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.repository.tools,2.0.0.v20100520,"org.eclipse.equinox.p2.repository.tools",1344366423821
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1344366423832
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1344366423833
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1344366423905
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1344366425210
started,bundle,com.aptana.ide.server.ui,2.0.0.1278523018,"com.aptana.ide.server.ui",1344366425311
started,bundle,org.python.pydev.core,2.2.2.2011082312,"org.python.pydev.core",1344366425487
started,bundle,org.python.pydev.debug,2.2.2.2011082312,"org.python.pydev.debug",1344366425525
started,bundle,com.python.pydev.analysis,2.2.2.2011082312,"com.python.pydev.analysis",1344366425646
started,bundle,org.python.pydev,2.2.2.2011082312,"org.python.pydev",1344366425698
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366432241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366444307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366453318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366513894
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1344366517230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366517510
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366517689
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1344366519872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366520151
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366520595
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366530506
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366531429
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1344366531464
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1344366531600
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1344366534078
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1344366534101
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1344366534101
